Month,fiscal_year,gross_sales
"September (2019)",2020,9.09M
"October (2019)",2020,10.38M
"November (2019)",2020,15.23M
"December (2019)",2020,9.76M
"January (2020)",2020,9.58M
"February (2020)",2020,8.08M
"March (2020)",2020,0.77M
"April (2020)",2020,0.80M
"May (2020)",2020,1.59M
"June (2020)",2020,3.43M
"July (2020)",2020,5.15M
"August (2020)",2020,5.64M
"September (2020)",2021,19.53M
"October (2020)",2021,21.02M
"November (2020)",2021,32.25M
"December (2020)",2021,20.41M
"January (2021)",2021,19.57M
"February (2021)",2021,15.99M
"March (2021)",2021,19.15M
"April (2021)",2021,11.48M
"May (2021)",2021,19.20M
"June (2021)",2021,15.46M
"July (2021)",2021,19.04M
"August (2021)",2021,11.32M
